id;area_conocimiento_id;padre_id;titulo;orden;trimestre
3110010300;3110;3110010000;Representación De Los Números Enteros En La Recta Numérica;3;
3110010400;3110;3110010000;Operaciones Con Números Enteros;4;
3110020100;3110;3110020000;Plano Cartesiano;1;
3110020200;3110;3110020000;Par Ordenado;2;
3110020300;3110;3110020000;Puntos, Segmentos, Rectas Y Polígonos;3;
3110020400;3110;3110020000;Distancias Entre Dos Puntos En Rectas Horizontales Y Verticales.;4;
3110020500;3110;3110020000;Rectas Paralelas Y Perpendiculare;5;
3110030100;3110;3110030000;El Origen De Los Números Racionales;1;
3110030200;3110;3110030000;El Conjunto De Los Números Racionales;2;
3110030300;3110;3110030000;Los Números Racionales En La Recta Numérica;3;
3110030400;3110;3110030000;Representación Gráfica Y Relación De Orden De Los Números Racionales;4;
3110030500;3110;3110030000;Simplificación De Fracciones;5;
3110030600;3110;3110030000;Fracciones Propias, Impropias Y Mixtas;6;
3110030700;3110;3110030000;Operaciones Con Números Racionales;7;
3110040100;3110;3110040000;Números Decimales En La Comunidad;1;
3110040200;3110;3110040000;Definición De Números Decimales;2;
3110040300;3110;3110040000;Operaciones Con Números Decimales;3;
3110040400;3110;3110040000;Notación Científica;4;
3110050100;3110;3110050000;Razones Y Porciones Y Porcentaje;1;
3110050200;3110;3110050000;Regla De Tres Simple Y Compuesta;2;
3110060100;3110;3110060000;Introducción A La Geometría Plana;1;
3110060200;3110;3110060000;Perímetro De Polígonos Regulares E Irregulares;2;
3110060300;3110;3110060000;Areas De Figuras Planas;3;
3110060400;3110;3110060000;Circulo Y Circunferencia;4;
3210010100;3210;3210010000;Adicion Y Sustracción De Números Racionales;1;
3210010200;3210;3210010000;Multiplicación Y División De Números Racionales;2;
3210010300;3210;3210010000;Potenciación Y Radicación De Números Racionales;3;
3210020100;3210;3210020000;Conjunto De Los Números Irracionales Y Reales;1;
3210020200;3210;3210020000;Operaciones Con Números Irracionales;2;
3210020300;3210;3210020000;Racionalización;3;
3210030100;3210;3210030000;Nociones Básicas De Álgebra;1;
3210030200;3210;3210030000;Expresiones Algebraicas Y La Modelización;2;
3210030300;3210;3210030000;Estudio De Variables Y Constantes;3;
3210030400;3210;3210030000;Término Algebraico;4;
3210030500;3210;3210030000;Términos Semejantes, Reducción Y Su Aplicación;5;
3210030600;3210;3210030000;Clasificación De Expresiones Algebraicas;6;
3210030700;3210;3210030000;Grado Relativo Y Absoluto De Un Monomio Y Un Polinomio;7;
3210030800;3210;3210030000;Valor Numérico;8;
3210030900;3210;3210030000;Signos De Agrupacion;9;
3210031000;3210;3210030000;Problemas Aplicados Al Contexto Y La Tecnología;10;
3210040100;3210;3210040000;Clasificación De Expresiones Algebraicas Y Su Notación;1;
3210040200;3210;3210040000;Operaciones Con Expresiones Algebraicas;2;
3210040300;3210;3210040000;Operaciones Algebraicas Combinadas;3;
3210040400;3210;3210040000;Problemas Aplicados Al Contexto Y La Tecnología;4;
3210050100;3210;3210050000;Triángulos Y Su Clasificación;1;
3210050200;3210;3210050000;Suma De Ángulos Internos De Un Triángulo Cualquiera;2;
3210050300;3210;3210050000;Triángulo Rectángulo;3;
3210050400;3210;3210050000;Problemas Aplicados Al Contexto Y La Tecnología;4;
3210060100;3210;3210060000;El Espacio Tridimensional: Punto, Recta, Segmento Y Plano;1;
3210060200;3210;3210060000;Clasificación De Los Cuerpos Geométricos;2;
3210060300;3210;3210060000;Características De Los Cuerpos Geométricos;3;
3210060400;3210;3210060000;Áreas Y Volúmenes De Cuerpos Geométricos;4;
3310010100;3310;3310010000;Resolución De Ecuaciones De Primer Grado.;1;
3310010200;3310;3310010000;Resolución De Problemas Del Contexto Con Ecuaciones De Primer Grado.;2;
3310020100;3310;3310020000;Productos Notables;1;
3310020200;3310;3310020000;Cocientes Notables;2;
3310030100;3310;3310030000;Factor Común, Factor Común Por Agrupación De Términos.;1;
3310030200;3310;3310030000;Factorización De Binomios;2;
3310030300;3310;3310030000;Factorización De Trinomios;3;
3310040100;3310;3310040000;Fracción Algebraica;1;
3310040200;3310;3310040000;Mínimo Común Múltiplo (M.C.M), Máximo Común Divisor (M.C.D.);2;
3310040300;3310;3310040000;Simplificación De Fracciones;3;
3310040400;3310;3310040000;Suma Y Resta De Fracciones Algebraicas.;4;
3310040500;3310;3310040000;Multiplicación Y División De Fracciones Algebraicas;5;
3310050100;3310;3310050000;Teoría De Exponentes Y Sus Propiedades;1;
3310050200;3310;3310050000;Operaciones Con Radicales Suma Y Resta.;2;
3310050300;3310;3310050000;Operaciones Con Radicales Multiplicación Y División.;3;
3310060100;3310;3310060000;Ecuaciones De 2Do Grado Con Soluciones Reales.;1;
3310060200;3310;3310060000;Resolución De Problemas Aplicados Al Contexto Y La Tecnología.;2;
3310070100;3310;3310070000;Geogebra;1;
3310070200;3310;3310070000;Taller De Pensamiento Lógico De Ajedrez;2;
3310070300;3310;3310070000;Nociones Básicas Del Ajedrez;3;
3310070400;3310;3310070000;Problemas De Razonamiento (Mate En Tres, Calcula La Mejor Jugada, Etc.);4;
3410010100;3410;3410010000;Ecuaciones Lineales;1;
3410010200;3410;3410010000;Resolución De Problemas Aplicados Al Contexto Y La Tecnología;2;
