id,nombre,distrito_id,area,nivel,latitud,longitud
80980689,COLINAS DE PASBOL,3062,Urbano,1,-17.4327704310922,-66.1095857620239
80980690,LA CASITA DE FREIRE,3061,Urbano,1,-17.3712772408153,-66.1657083034516
80980691,SAN PEDRO B,3062,Urbano,4,-17.4933066193103,-66.1811792850495
81100028,GUALBERTO VILLARROEL,4019,Urbano,4,-19.008795434703,-66.775563418865
81100032,JOSE LUIS JOHNSON,4019,Urbano,3,-19.007699966431,-66.777976989746
81130007,METODISTA CALAMA,4016,Urbano,4,-17.598899841309,-67.514259338379
81130008,NACIONAL DE EUCALIPTUS,4016,Urbano,4,-17.595699310303,-67.512641906738
81130009,BENEDETTO VINCENTI,4016,Urbano,3,-17.594400405884,-67.509773254395
81130010,ELSA OMISTE DE OVANDO,4016,Urbano,3,-17.5944995880127,-67.5108642578125
81130011,CALAMA,4016,Urbano,3,-17.599199295044,-67.513824462891
81170016,MCAL. DE AYACUCHO,4011,Urbano,4,-18.285895022437,-66.841259717941
81170019,HUANUNI,4011,Urbano,4,-18.2879619057982,-66.839604556561
